Player,Nation,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Straight,Cmp,Off,Blocks,Position 1,Position 2
Formose Mendy,SEN,Lorient,fr Ligue 1,22 years,14.0,739,658,80,35,0,18,13,44,0,0,0,0,587,1,11,Defender,
Nampalys Mendy,SEN,Lens,fr Ligue 1,31 years,11.7,653,637,14,13,3,3,7,1,0,0,0,0,577,2,4,Midfielder,
Teden Mengi,ENG,Luton Town,eng Premier League,21 years,27.4,938,912,22,18,1,13,2,4,0,0,0,0,728,4,7,Defender,
Chris Mepham,WAL,Bournemouth,eng Premier League,25 years,6.9,359,350,8,5,0,1,1,3,0,0,0,0,296,1,1,Defender,
Jorge Meré,ESP,Cádiz,es La Liga,26 years,7.5,233,221,8,5,0,0,1,3,0,0,0,0,166,4,2,Defender,
Alex Meret,ITA,Napoli,it Serie A,26 years,30.8,914,726,185,48,0,1,0,0,0,0,0,0,769,3,1,Goalkeeper,
Mikel Merino,ESP,Real Sociedad,es La Liga,27 years,27.6,1413,1387,15,12,7,13,19,3,0,0,0,0,1076,11,24,Midfielder,
Quentin Merlin,FRA,Marseille,fr Ligue 1,21 years,7.8,465,379,84,18,1,1,40,59,7,1,6,0,360,2,11,Defender,
Quentin Merlin,FRA,Nantes,fr Ligue 1,21 years,14.3,841,689,148,11,8,6,63,121,16,6,5,0,615,4,17,Defender,
Junior Messias,BRA,Genoa,it Serie A,32 years,11.7,337,307,30,5,1,3,24,14,4,2,2,0,245,0,7,Midfielder,Defender
Thomas Meunier,BEL,Dortmund,de Bundesliga,31 years,6.5,495,424,70,7,0,1,17,63,0,0,0,0,399,1,7,Defender,
Bastien Meupiyou,FRA,Nantes,fr Ligue 1,17 years,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Defender,
Alexander Meyer,GER,Dortmund,de Bundesliga,32 years,7.7,366,323,42,11,0,0,0,0,0,0,0,0,302,1,0,Goalkeeper,
Omenuke Mfulu,COD,Las Palmas,es La Liga,29 years,0.9,60,59,1,1,0,0,0,0,0,0,0,0,53,0,1,Midfielder,Forward
Lucas Michal,FRA,Monaco,fr Ligue 1,18 years,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Forward,
Sven Michel,GER,Augsburg,de Bundesliga,33 years,6.5,173,155,15,0,2,0,10,2,0,0,0,0,97,3,10,Forward,Midfielder
Miguel,ESP,Alavés,es La Liga,23 years,0.7,15,12,3,0,0,0,0,0,0,0,0,0,7,0,1,Forward,Midfielder
Georges Mikautadze,GEO,Metz,fr Ligue 1,22 years,19.4,430,358,67,9,2,1,34,4,8,3,3,0,299,5,16,Forward,
Nikola Milenković,SRB,Fiorentina,it Serie A,25 years,27.9,1584,1540,40,36,0,15,0,3,0,0,0,0,1341,4,14,Defender,
Lewis Miley,ENG,Newcastle Utd,eng Premier League,17 years,13.4,535,535,0,0,4,2,11,0,0,0,0,0,441,0,13,Midfielder,
Arkadiusz Milik,POL,Juventus,it Serie A,29 years,10.2,270,260,9,1,3,2,4,1,0,0,0,0,215,1,3,Forward,
Vanja Milinković-Savić,SRB,Torino,it Serie A,26 years,36.0,1536,1207,320,81,0,4,0,0,0,0,0,0,984,9,0,Goalkeeper,
Éder Militão,BRA,Real Madrid,es La Liga,25 years,5.5,329,308,20,10,0,8,1,1,0,0,0,0,297,1,2,Defender,
Luis Milla,ESP,Getafe,es La Liga,28 years,23.5,1273,1101,165,93,1,40,102,3,65,30,24,0,1011,7,17,Midfielder,
Enzo Millot,FRA,Stuttgart,de Bundesliga,21 years,24.9,1456,1408,47,12,12,3,38,7,13,5,3,0,1238,1,38,Midfielder,Forward
James Milner,ENG,Brighton,eng Premier League,37 years,8.6,585,516,66,7,4,2,29,53,6,3,0,0,492,3,10,Defender,Midfielder
Jovan Milošević,SRB,Stuttgart,de Bundesliga,18 years,0.3,13,12,1,0,0,0,0,1,0,0,0,0,8,0,1,Forward,Midfielder
Marko Milovanović,SRB,Almería,es La Liga,19 years,3.4,68,64,4,0,0,0,1,0,0,0,0,0,43,0,2,Forward,Midfielder
Kim Min-jae,KOR,Bayern Munich,de Bundesliga,26 years,21.9,2139,2071,66,22,4,13,2,4,0,0,0,0,1986,2,8,Defender,
