Player,Nation,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Position 1,Position 2
Takehiro Tomiyasu,JPN,Arsenal,"26 years, 135 days",0.1,0,1,0,0.0,12.86,0.0,0.0,,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Defender,
Sandro Tonali,ITA,Newcastle Utd,"24 years, 316 days",19.2,1,22,7,31.8,1.14,0.36,0.05,0.14,17.9,2,0,0,3.1,3.1,0.14,-2.1,-2.1,Midfielder,
Pau Torres,ESP,Aston Villa,"28 years, 063 days",17.2,0,8,2,25.0,0.46,0.12,0.0,0.0,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Defender,
Conor Townsend,ENG,Ipswich Town,"32 years, 016 days",1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Adama Traoré,ESP,Fulham,"29 years, 054 days",15.6,2,34,11,32.4,2.17,0.7,0.06,0.18,14.3,0,0,0,3.7,3.7,0.11,-1.7,-1.7,Forward,Midfielder
Mark Travers,IRL,Bournemouth,"25 years, 306 days",5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Ryan Trevitt,ENG,Brentford,"22 years, 008 days",0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Kieran Trippier,ENG,Newcastle Utd,"34 years, 182 days",7.8,0,2,0,0.0,0.26,0.0,0.0,,19.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Defender,
Leandro Trossard,BEL,Arsenal,"30 years, 106 days",21.1,4,53,14,26.4,2.51,0.66,0.08,0.29,16.6,0,0,0,5.1,5.1,0.1,-1.1,-1.1,Forward,
Kostas Tsimikas,GRE,Liverpool,"28 years, 312 days",5.7,0,3,1,33.3,0.52,0.17,0.0,0.0,18.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Defender,
Axel Tuanzebe,COD,Ipswich Town,"27 years, 126 days",12.2,0,4,0,0.0,0.33,0.0,0.0,,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Defender,
Destiny Udogie,ITA,Tottenham,"22 years, 112 days",18.4,0,5,1,20.0,0.27,0.05,0.0,0.0,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Defender,
Manuel Ugarte Ribeiro,URU,Manchester Utd,"23 years, 343 days",14.7,1,11,2,18.2,0.75,0.14,0.09,0.5,22.0,0,0,0,0.5,0.5,0.04,0.5,0.5,Midfielder,
Lesley Ugochukwu,FRA,Southampton,"20 years, 359 days",11.4,0,6,0,0.0,0.53,0.0,0.0,,21.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Midfielder,
Enes Ünal,TUR,Bournemouth,"27 years, 314 days",3.8,2,20,7,35.0,5.22,1.83,0.1,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7,Forward,Midfielder
Virgil van Dijk,NED,Liverpool,"33 years, 255 days",29.0,1,19,6,31.6,0.66,0.21,0.05,0.17,13.6,1,0,0,1.6,1.6,0.08,-0.6,-0.6,Defender,
Jamie Vardy,ENG,Leicester City,"38 years, 068 days",24.7,7,46,19,41.3,1.86,0.77,0.13,0.32,11.7,0,1,1,9.2,8.5,0.18,-2.2,-2.5,Forward,
Renato Veiga,POR,Chelsea,"21 years, 234 days",2.0,0,3,1,33.3,1.49,0.5,0.0,0.0,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Defender,Midfielder
Joël Veltman,NED,Brighton,"33 years, 064 days",18.3,0,6,1,16.7,0.33,0.05,0.0,0.0,19.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Defender,
Micky van de Ven,NED,Tottenham,"23 years, 335 days",9.1,0,5,1,20.0,0.55,0.11,0.0,0.0,10.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Defender,
Bart Verbruggen,NED,Brighton,"22 years, 214 days",27.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Jannik Vestergaard,DEN,Leicester City,"32 years, 229 days",15.5,0,3,2,66.7,0.19,0.13,0.0,0.0,9.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Defender,
Guglielmo Vicario,ITA,Tottenham,"28 years, 164 days",17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Carlos Vinícius,BRA,Fulham,"29 years, 360 days",0.0,0,1,1,100.0,22.5,22.5,0.0,0.0,17.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Midfielder,
Kyle Walker,ENG,Manchester City,"34 years, 296 days",10.8,0,5,2,40.0,0.46,0.19,0.0,0.0,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Defender,
Kyle Walker-Peters,ENG,Southampton,"27 years, 341 days",26.4,0,16,5,31.3,0.61,0.19,0.0,0.0,19.5,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Defender,
Christian Walton,ENG,Ipswich Town,"29 years, 131 days",6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Aaron Wan-Bissaka,ENG,West Ham,"27 years, 114 days",27.0,2,13,4,30.8,0.48,0.15,0.15,0.5,15.5,0,0,0,1.0,1.0,0.08,1.0,1.0,Defender,
Danny Ward,WAL,Leicester City,"31 years, 271 days",1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
James Ward-Prowse,ENG,West Ham,"30 years, 139 days",4.6,0,2,1,50.0,0.43,0.22,0.0,0.0,18.4,1,0,0,0.3,0.3,0.17,-0.3,-0.3,Midfielder,
James Ward-Prowse,ENG,Nottingham Forest,"30 years, 139 days",4.4,0,2,1,50.0,0.45,0.23,0.0,0.0,29.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Midfielder,
Ollie Watkins,ENG,Aston Villa,"29 years, 080 days",22.8,13,70,30,42.9,3.07,1.31,0.16,0.37,12.2,0,2,2,13.9,12.3,0.18,-0.9,-1.3,Forward,
Adam Webster,ENG,Brighton,"30 years, 075 days",6.9,0,1,1,100.0,0.15,0.15,0.0,0.0,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Defender,
Danny Welbeck,ENG,Brighton,"34 years, 114 days",16.5,7,42,15,35.7,2.54,0.91,0.17,0.47,15.5,7,0,0,6.7,6.7,0.16,0.3,0.3,Forward,
Welington,BRA,Southampton,"24 years, 029 days",1.9,0,1,0,0.0,0.52,0.0,0.0,,31.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Defender,Midfielder
Timo Werner,GER,Tottenham,"29 years, 014 days",5.7,0,8,3,37.5,1.4,0.52,0.0,0.0,18.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Forward,Midfielder
Adam Wharton,ENG,Crystal Palace,"20 years, 291 days",9.4,0,10,5,50.0,1.07,0.53,0.0,0.0,25.0,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Midfielder,
Ben White,ENG,Arsenal,"27 years, 163 days",7.8,0,5,1,20.0,0.64,0.13,0.0,0.0,21.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Defender,
Mats Wieffer,NED,Brighton,"25 years, 124 days",5.5,1,5,2,40.0,0.91,0.36,0.2,0.5,11.0,0,0,0,0.5,0.5,0.09,0.5,0.5,Midfielder,
Neco Williams,WAL,Nottingham Forest,"23 years, 341 days",19.8,1,27,6,22.2,1.36,0.3,0.04,0.17,19.6,1,0,0,1.8,1.8,0.07,-0.8,-0.8,Defender,
